id,num_children,distinct_children,distinct_parents,num_parents,is_sample,is_root
317,3.0,[ 531 1316 1361],[ -1 133 159],3.0,0,0.0
318,3.0,[ 406 1108 1324],[ -1 239],2.0,0,0.0
319,11.0,[ 381  385  548  638  803  847 1160 1231 1349 1596 1676],[ -1 154 158 159 164 194 208 209 232 233],10.0,0,0.0
320,3.0,[ 339  427 1236],[ -1 129 133],3.0,0,0.0
321,4.0,[ 442  533 1287 1307],[ -1 208],2.0,0,0.0
322,5.0,[ 395  494  619 1261 1586],[ -1 153 163],3.0,0,0.0
323,9.0,[ 360  388  389  398  981 1295 1411 1476 1606],[ -1 228 240 241 247 250],6.0,0,0.0
324,14.0,[ 644 1070 1095 1113 1139 1180 1227 1300 1345 1736 1804 1899 2128 2509],[ -1 114 175 251],4.0,0,0.0
325,8.0,[ 425  562  564  581  589  745 1323 2246],[ -1 118 149],3.0,0,0.0
326,2.0,[ 725 1687],[ -1 238 246],3.0,0,0.0
327,2.0,[395 619],[ -1 252],2.0,0,0.0
328,4.0,[673 676 733 763],[ -1 189],2.0,0,0.0
329,6.0,[361 384 420 455 510 589],[ -1  10 239],3.0,0,0.0
330,5.0,[ 704  725  941 1687 2214],[ -1 238],2.0,0,0.0
331,7.0,[ 585  673  795  840  996 1039 1045],[ -1 117 121 159],4.0,0,0.0
332,2.0,[ 517 1295],[ -1 225 228 250],4.0,0,0.0
333,13.0,[ 497  498  499  502  520  531  968 1295 1316 1324 1361 1509 3119],[ -1 133 135 165 170 199 228 230 236 283],10.0,0,0.0
334,9.0,[ 430  494  607  992 1157 1411 1490 1625 1715],[ -1 119 149 238],4.0,0,0.0
335,3.0,[ 424  466 1147],[ -1 241 250],3.0,0,0.0
336,5.0,[ 451  575  745  802 1000],[ -1 153 173],3.0,0,0.0
337,5.0,[559 662 735 759 772],[ -1 159],2.0,0,0.0
